n_samples,n_features,n_classes,frac_categorical,ratio_samples_per_feature,col_min_mean,col_min_std,col_max_mean,col_max_std,col_mean_mean,col_mean_std,col_std_mean,col_std_std,col_skew_mean,col_skew_std,col_kurt_mean,col_kurt_std,tree_node_count,tree_leaf_count,tree_depth_max,tree_leaf_depth_mean,dummy_mf_acc_mean,gnb_acc_mean,linsvc_acc_mean,logreg_acc_mean,knn5_acc_mean,dt_acc_mean,meta_target_best_algo,did,name,elapsed_sec
3196,36,2,0.0,88.77777777777777,,,,,,,,,,,,,23,12,5,4.333333333333333,0.5222153755868545,0.6220222026604069,0.9709047339593113,0.9658973982785601,0.9336673513302035,0.9953085876369328,dt_acc_mean,3,kr-vs-kp,2.924
20000,16,26,0.0,1250.0,0.0,0.0,15.0,0.0,5.925465625,1.7640660155163155,2.2737143004571942,0.41710864860393665,0.29029703410180985,0.4552305332806456,0.6977379005298197,0.6709184606328631,57,29,5,4.896551724137931,0.043199999999999995,0.6348,0.6918,0.7622,0.8658000000000001,0.7796000000000001,knn5_acc_mean,6,letter,1.216
226,69,24,0.0,3.2753623188405796,,,,,,,,,,,,,33,17,5,4.294117647058823,,,,,,,,7,audiology,0.048
205,25,6,0.0,8.2,753.7606666666667,1573.791712124857,3835.4139999999998,11257.364133139872,1447.0910079157659,3424.5033716146168,605.477606229712,1963.7696863006197,0.7995814630212842,0.8340229406593394,1.3593185995836712,1.8739384606049492,33,17,5,4.294117647058823,,,,,,,,9,autos,0.028
625,4,3,0.0,156.25,1.0,0.0,5.0,0.0,3.0,0.0,1.4142135623730951,0.0,0.0,0.0,-1.300798439249973,0.0,59,30,5,4.933333333333334,0.45760000000000006,0.9040000000000001,0.8752000000000001,0.8784000000000001,0.8304,0.7696,gnb_acc_mean,11,balance-scale,0.226
286,9,2,0.0,31.77777777777778,,,,,,,,,,,,,33,17,5,4.411764705882353,0.7027828191167573,0.44059286146400484,0.7061101028433152,0.7201451905626134,0.7411978221415608,0.6398064125831822,knn5_acc_mean,13,breast-cancer,0.292
2000,76,10,0.0,26.31578947368421,0.003192156710526316,0.0024628619212270038,0.3819513794736842,0.14897483945355935,0.13203208401769737,0.06801141061294454,0.06709117258131884,0.03187941507134613,0.5447006835842778,0.24754115695554565,0.11900628082326721,0.6343081004614413,41,21,5,4.619047619047619,0.1,0.7615000000000001,0.8154999999999999,0.8160000000000001,0.799,0.7230000000000001,logreg_acc_mean,14,mfeat-fourier,1.534
699,9,2,0.0,77.66666666666667,1.0,0.0,10.0,0.0,3.135704100282237,0.705933101373923,2.749105183218069,0.5268543999196925,1.47748866673108,0.7973552467075149,1.6841150960407207,3.9675429374848448,25,13,5,4.076923076923077,0.6552209660842754,0.9570709146968139,0.9613669064748201,0.9642240493319632,0.9684994861253855,0.9341623843782116,knn5_acc_mean,15,breast-w,0.186
2000,64,10,0.0,31.25,-6.7565145228125,3.34746651053469,6.893724891875,3.8730210771931146,0.05308473924664062,0.7336596085632938,2.1521245957079667,1.362608750674709,-0.004285662607736737,0.16341353866962663,-0.04565484575249523,0.25233211590015525,59,30,5,4.933333333333334,0.1,0.9359999999999999,0.9399999999999998,0.9460000000000001,0.9495000000000001,0.8164999999999999,knn5_acc_mean,16,mfeat-karhunen,1.138
2000,6,10,0.0,333.3333333333333,256.69782190666666,530.2203209455423,2969.839272355,6530.9021780056855,1052.6997316402774,2282.6120038124127,630.7493360226143,1397.9935644568739,0.5315671843447335,0.33492499497810635,-0.5362369226243187,0.3781518058989208,35,18,5,4.5,0.1,0.6955,0.7370000000000001,0.734,0.7085,0.6459999999999999,linsvc_acc_mean,18,mfeat-morphological,0.343
2000,47,10,0.0,42.5531914893617,13.034599618723405,49.29407851011681,221.22523790510638,205.23963918237044,88.63642941472713,104.04321056256859,40.11542030429077,36.05185783224231,0.790830076474756,0.48244611717101504,0.7353956813037774,1.4066386387702383,37,19,5,4.526315789473684,0.1,0.7295,0.8265,0.8160000000000001,0.8039999999999999,0.6785,linsvc_acc_mean,22,mfeat-zernike,1.1
1473,9,3,0.0,163.66666666666666,8.0,8.0,32.5,16.5,17.89986422267481,14.638492871690428,5.291099865618952,2.9333517324954994,0.677731575793992,0.42128237031209326,0.29285603023391094,1.236750521097754,37,19,5,4.631578947368421,0.4270194857604059,0.43652945924132364,0.49970483108497643,0.5044667358468812,0.4813351781390522,0.462972443214574,logreg_acc_mean,23,cmc,0.492
8124,21,2,0.0,386.85714285714283,,,,,,,,,,,,,23,12,5,3.8333333333333335,0.5236000000000001,0.9617999999999999,1.0,0.9996,0.9998000000000001,0.9996,linsvc_acc_mean,24,mushroom,1.195
12960,8,5,0.0,1620.0,,,,,,,,,,,,,31,16,5,4.6875,,,,,,,,26,nursery,0.042
5620,62,10,0.0,90.64516129032258,0.0,0.0,13.82258064516129,4.426912539297916,5.069670531511882,4.16128526738288,3.804866568645374,2.222639480979649,5.451185659375663,11.21544662795505,168.55386930106587,482.23357612228045,57,29,5,4.896551724137931,0.1046,0.7984,0.9628,0.9698,0.9747999999999999,0.8876000000000002,knn5_acc_mean,28,optdigits,2.002
690,15,2,0.0,46.0,2.2916666666666665,5.1243224484370185,17033.958333333332,37110.37165515431,207.0584299702249,368.04108561596234,900.8552076339373,1926.4368716657998,4.423867143578729,4.105103183912149,49.93170391116674,75.52018870413458,45,23,5,4.6521739130434785,0.555072463768116,0.846376811594203,0.8594202898550725,0.8695652173913043,0.8420289855072465,0.8144927536231885,logreg_acc_mean,29,credit-approval,0.399
5473,10,5,0.0,547.3,2.5121,2.964795657376744,23320.6,43069.67117171896,253.32758631463548,386.95112783912043,840.1568540864666,1471.5164365449496,14.711451967520436,18.890428594735848,652.8296690123777,1404.1462482180143,47,24,5,4.75,0.897,0.8922000000000001,0.9542000000000002,0.9587999999999999,0.9642,0.9585999999999999,knn5_acc_mean,30,page-blocks,0.664
1000,20,2,0.0,50.0,39.57142857142857,86.12259889724837,2655.0,6437.73986515676,476.5838571428571,1140.9848122372719,406.844044112389,985.7193578350305,0.9203791257169,0.9049518896502818,0.9242775257980996,1.7854665070327316,57,29,5,4.896551724137931,0.7,0.7209999999999999,0.746,0.75,0.7390000000000001,0.684,logreg_acc_mean,31,credit-g,0.539
10992,16,10,0.0,687.0,0.0,0.0,100.0,0.0,50.711045533115,16.229911882765162,29.772883847075978,6.569892408215554,-0.03919608212031135,0.654841646035446,-0.5010429355334174,1.1112682822597764,59,30,5,4.933333333333334,0.10800000000000001,0.8582000000000001,0.9276,0.9474,0.9882,0.9388,knn5_acc_mean,32,pendigits,0.889
366,34,6,0.0,10.764705882352942,0.0,0.0,75.0,0.0,36.29608938547486,0.0,15.303139354151124,0.0,0.07335210626078169,0.0,-0.7079092289207862,0.0,17,9,5,3.7777777777777777,0.3060348019252128,0.9234727878563496,0.9590892262125138,0.9672343576453166,0.9509811181044057,0.9426878933728249,logreg_acc_mean,35,dermatology,0.657
2310,18,7,0.0,128.33333333333334,-4.835787778660811,13.905317874444027,211.27250138888888,360.9408920443695,25.501652140027517,39.11712440797475,26.715303096441545,23.164065535410426,3.320958854659288,4.715675123770408,38.51719076973939,90.06976380756106,15,8,5,3.875,0.14285714285714285,0.7974025974025973,0.9160173160173161,0.9346320346320347,0.9406926406926408,0.9636363636363636,dt_acc_mean,36,segment,0.597
768,8,2,0.0,96.0,2.63475,6.941458991991525,179.19,258.4781948250181,44.98579117838541,38.94623512137641,25.716983779290736,35.060394975023975,0.5292461289375234,1.2410904298246983,2.7753623954423947,2.7502061008597867,53,27,5,4.814814814814815,0.6510482981071216,0.7539512774806892,0.7747899159663865,0.7747984042101688,0.7396231219760632,0.686189627366098,logreg_acc_mean,37,diabetes,0.191
336,7,8,0.0,48.0,0.16714285714285718,0.21089701520032988,0.9657142857142859,0.051229774505831736,0.49956632653061234,0.0017513600983216455,0.14351465531953406,0.06446825358718868,3.605501049268437,6.288104422440306,51.976030830189856,116.39564212414187,39,20,5,4.45,0.4255952380952381,0.8125,0.8452380952380952,0.8690476190476191,0.8541666666666666,0.7559523809523809,logreg_acc_mean,39,ecoli,0.083
208,60,2,0.0,3.466666666666667,0.01894333333333333,0.02112150852146272,0.6558233333333333,0.3737557724712163,0.2813212900641026,0.22577592632963078,0.1418954972018107,0.09412091433996066,0.9672196487827535,0.9452395014028107,2.2767766937181766,4.2623872083315675,29,15,5,4.066666666666666,0.5336817653890825,0.6930313588850174,0.7118466898954703,0.7308943089430894,0.8176538908246226,0.7448315911730546,knn5_acc_mean,40,sonar,0.262
214,9,6,0.0,23.77777777777778,9.75235,21.510841193376578,14.263770000000001,22.368783133169213,11.265851609553478,22.130326293835143,0.6879278145483789,0.47321166702309625,1.6525943876045246,2.1811811063238995,9.908544271023604,16.204336605743794,29,15,5,4.4,,,,,,,,41,glass,0.015
683,35,19,0.0,19.514285714285716,,,,,,,,,,,,,23,12,5,4.0,0.13324388149420352,0.9458565908115071,0.9400064405324173,0.934145556032632,0.9092421640188922,0.916638042078145,gnb_acc_mean,42,soybean,0.749
4601,57,2,0.0,80.71929824561404,0.05263157894736842,0.22329687826943606,483.9420701754385,2437.2657340899696,6.150770191072116,37.66213828982201,15.192346442279263,83.08081164895047,11.186639096028685,6.897289088738801,241.17001865177343,294.62161648968123,39,20,5,4.55,0.6059552471321343,0.8206925364679224,0.9269730444224142,0.9243650568852381,0.9087147712788555,0.9139328706982013,linsvc_acc_mean,44,spambase,1.252
3190,60,3,0.0,53.166666666666664,,,,,,,,,,,,,55,28,5,4.857142857142857,0.5188087774294671,0.7677115987460814,0.9429467084639498,0.94294670846395,0.7269592476489029,0.9206896551724139,logreg_acc_mean,46,splice,2.253
303,13,2,0.0,23.307692307692307,53.333333333333336,47.48216039267333,175.36666666666667,191.64012859755886,97.26918178395022,88.0856037842113,17.21409119754212,17.3854848542952,0.5952455447960666,0.7113197986643021,1.108897571045537,1.6646397258376413,47,24,5,4.708333333333333,,,,,,,,49,heart-c,0.02
958,9,2,0.0,106.44444444444444,,,,,,,,,,,,,43,22,5,4.636363636363637,0.6534467713787085,0.6711551047120419,0.9833115183246074,0.9833115183246074,0.7077225130890052,0.9530322862129145,linsvc_acc_mean,50,tic-tac-toe,0.314
